level;time;correct;attempt;PlayerType;PlayerName;PlayerAlias;PlayerSkill;GuesserType;GuesserName;GuesserAlias;GuesserSkill; 
DM-TokaraForest;2014-6-19 12:0:00;yes;1;bot;Conscious-Robots;Wally;7;bot;MirrorBot;Aaron;6;
DM-TokaraForest;2014-6-19 12:0:00;yes;1;epic;Thannis;Harold;1;bot;Conscious-Robots;Wally;7;
DM-TokaraForest;2014-6-19 12:0:00;yes;2;epic;Thannis;Harold;1;bot;Conscious-Robots;Wally;7;
DM-TokaraForest;2014-6-19 12:0:00;no;1;human;Juan_CVC;Daron;0;bot;Conscious-Robots;Wally;7;
DM-TokaraForest;2014-6-19 12:0:00;yes;1;epic;Thannis;Harold;1;human;Xenija;Todd;0;
DM-TokaraForest;2014-6-19 12:0:00;yes;2;epic;Thannis;Harold;1;human;Xenija;Todd;0;
DM-TokaraForest;2014-6-19 12:0:00;yes;3;epic;Thannis;Harold;1;human;Xenija;Todd;0;
DM-TokaraForest;2014-6-19 12:0:00;yes;1;bot;ADANN;Conrad;7;human;Player;Gilberto;0;
DM-TokaraForest;2014-6-19 12:0:00;yes;2;bot;ADANN;Conrad;7;human;Player;Gilberto;0;
DM-TokaraForest;2014-6-19 12:0:00;yes;1;bot;MirrorBot;Aaron;6;bot;Conscious-Robots;Wally;7;
DM-TokaraForest;2014-6-19 12:0:00;no;1;human;Xenija;Todd;0;bot;Conscious-Robots;Wally;7;
DM-TokaraForest;2014-6-19 12:0:00;no;2;human;Xenija;Todd;0;bot;Conscious-Robots;Wally;7;
DM-TokaraForest;2014-6-19 12:0:00;no;3;human;Xenija;Todd;0;bot;Conscious-Robots;Wally;7;
DM-TokaraForest;2014-6-19 12:0:00;no;4;human;Xenija;Todd;0;bot;Conscious-Robots;Wally;7;
DM-TokaraForest;2014-6-19 12:0:00;yes;1;bot;ADANN;Conrad;7;epic;Thannis;Harold;1;
DM-TokaraForest;2014-6-19 12:0:00;no;2;bot;ADANN;Conrad;7;epic;Thannis;Harold;1;
DM-TokaraForest;2014-6-19 12:0:00;no;3;bot;ADANN;Conrad;7;epic;Thannis;Harold;1;
DM-TokaraForest;2014-6-19 12:0:00;no;1;human;Player;Santiago;0;human;Player;Gilberto;0;
DM-TokaraForest;2014-6-19 12:0:00;no;1;unknown;unknown;;0;human;Player;Gilberto;0;
DM-TokaraForest;2014-6-19 12:0:00;no;2;unknown;unknown;;0;human;Player;Gilberto;0;
DM-TokaraForest;2014-6-19 12:0:00;no;3;unknown;unknown;;0;human;Player;Gilberto;0;
DM-TokaraForest;2014-6-19 12:0:00;yes;1;bot;OvGUBot;Val;7;human;Juan_CVC;Daron;0;
DM-TokaraForest;2014-6-19 12:0:00;yes;2;bot;OvGUBot;Val;7;human;Juan_CVC;Daron;0;
DM-TokaraForest;2014-6-19 12:0:00;yes;3;bot;OvGUBot;Val;7;human;Juan_CVC;Daron;0;
DM-TokaraForest;2014-6-19 12:0:00;yes;4;bot;OvGUBot;Val;7;human;Juan_CVC;Daron;0;
DM-TokaraForest;2014-6-19 12:0:00;yes;5;bot;OvGUBot;Val;7;human;Juan_CVC;Daron;0;
DM-TokaraForest;2014-6-19 12:0:00;yes;6;bot;OvGUBot;Val;7;human;Juan_CVC;Daron;0;
DM-TokaraForest;2014-6-19 12:0:00;yes;1;bot;BotTracker;Tanner;4;human;Xenija;Todd;0;
DM-TokaraForest;2014-6-19 12:0:00;yes;7;bot;OvGUBot;Val;7;human;Juan_CVC;Daron;0;
