Player;PlayerType;PlayerName;JudgeAge;JudgeGender;JudgeLevel;JudgeExp;JudgeEdu;JudgeJob;Guess;Humanness;Machinness;GuessReason
1;Bot;ADANN;24;Male;HardcoreGamer;15;Graduate;IT Professional;Machine;25;75;I felt it was a machine playing because I observed that the character was firing blindly here and there randomly.
1;Bot;ADANN;25;Male;FrequentGamer;8;Graduate;Interior Design;Machine;50;70;machine (shooting or killing athors)
1;Bot;ADANN;25;Male;Gamer;15;Graduate;Web Developer;Machine;20;80;Shooting is too random as well as hitting a wall when moving
1;Bot;ADANN;32;Male;FrequentGamer;20;Graduate;Manager;Human;80;20;Moving
1;Bot;ADANN;32;Male;FrequentGamer;12;Postgraduate;Assistant Professor;Machine;25;75;Machine
1;Bot;ADANN;24;Male;Gamer;9;Secondary;Saller;Human;75;25;I think it is a good player, good skills.
1;Bot;ADANN;19;Male;Gamer;14;High School;Student;Machine;15;85;Appparent inability to make decisions that followed in a logical order/ plan ahead. It appeared that the character was facing problems at it came to them rather than planning ahead
1;Bot;ADANN;28;Male;Rookie;1;Postgraduate;Student;Human;60;40;The movement of the character wasn't very well controlled, so I felt it was controlled by a human rather than a machine.
1;Bot;ADANN;28;Male;Rookie;4;Professional;Executive;Human;70;30;Machine
1;Bot;ADANN;24;Female;HardcoreGamer;10;Graduate;TDB;Human;80;20;"it can identify that it is controlled by human because of its sharpness. defeats every obstacles correctly even in the corner

nice
"
1;Bot;ADANN;23;Male;FrequentGamer;8;Graduate;Teacher;Machine;100;0;No
1;Bot;ADANN;28;Male;FrequentGamer;10;Graduate;Technical Assistant;Machine;100;0;the character is always moving, it doesn't stop anytime. It moves too fast and fire not so exactly. In some point of the game the character jump against wall.
1;Bot;ADANN;50;Female;Gamer;25;Graduate;Investment Advisor;Human;100;0;Controlling activities of both the fighters.
1;Bot;ADANN;28;Female;HardcoreGamer;15;Postgraduate;IT Professional;Machine;20;80;Its a machine character fighting with guns but a person can play this game and do the controlling . But in this video it is controlled by some computer program
1;Bot;ADANN;25;Male;Gamer;10;Graduate;Network admin;Human;70;30;The player makes mistakes in often situation. Accuracy lacks.
1;Bot;ADANN;25;Male;FrequentGamer;10;Graduate;Sales Executive;Human;89;11;"My primary aspect was movement of the character, it wasn’t perfect and the player seemed not to know his way fully, kept guessing his way or where his enemies were at or where he could escape his way to; this is usually normal especially in a fast paced shooter game like this one. The body movement too wasn’t flawless, somewhat lagged as if someone was actually pressing a button over and over to change or head direction. If it were a robot, the movement and shooting could have been perfect."
1;Bot;ADANN;23;Male;FrequentGamer;23;Graduate;Teacher;Machine;10;90;no
1;Bot;ADANN;18;Male;Rookie;8;High School;None;Machine;25;75;i think it is a bot because the action it make is too sharp and rusty not smooth like how we human do it
1;Bot;ADANN;22;Male;FrequentGamer;15;Graduate;None;Human;100;0;It is a human player controlling the virtual character because the virtual character was shooting at walls, wasting ammo, missing a lot, and clearly shooting when no one is around. If this were AI controlling this virtual character, the AI would not have their character shoot at walls and shoot when no one is clearly around the character.
1;Bot;ADANN;25;Male;FrequentGamer;14;Graduate;Network Engineer;Human;60;40;movement is similer to human but attacking looks like robot
1;Bot;ADANN;32;Male;FrequentGamer;12;Postgraduate;Assistant Professor;Machine;25;75;Machine
2;Bot;BotTracker;23;Male;FrequentGamer;8;Secondary;None;Human;100;0;Movements in the game
2;Bot;BotTracker;24;Male;Gamer;11;Postgraduate;Researcher;Machine;0;100;The character was acting too fast that is impossible for a human to play. And, the character was correctly moving towards the targets without hesitations which a user will not react that much faster.
2;Bot;BotTracker;22;Male;FrequentGamer;15;Graduate;None;Human;100;0;The virtual character was controlled by a human player because there seemed to be a lot of uncertainty in the virtual character's movements. There were a lot of very subtle little movements the character would make, such as jumping a lot. At times you could tell that a controller key was gently being pressed to slightly nudge the character forward. An AI would be much more assertive or confident in it's movements.
2;Bot;BotTracker;23;Male;FrequentGamer;8;Graduate;Teacher;Machine;0;100;no
2;Bot;BotTracker;30;Female;Gamer;10;Postgraduate;Online Worker;Machine;0;100;The character is moving continiously and the moves are almost the same.
2;Bot;BotTracker;40;Male;Rookie;1;Graduate;Admin;Human;100;0;Movement of character
2;Bot;BotTracker;28;Male;FrequentGamer;10;Graduate;Computer technician;Human;100;0;few and controlled movements, the character tries coverage before firing
2;Bot;BotTracker;25;Male;HardcoreGamer;4;Graduate;Site Engineer;Human;90;10;Human
2;Bot;BotTracker;22;Male;Gamer;12;Graduate;Student;Machine;0;100;this character is more beautiful than other his action really superb
2;Bot;BotTracker;24;Female;Rookie;7;Postgraduate;Associate;Machine;0;100;character is being a machine because fast movement without missing shooting
2;Bot;BotTracker;18;Male;Gamer;12;High School;Student;Human;60;40;He dies by walking directly into enemy fire. If it were a bot(if coded weell) won't walk into that. However, at 1:03 he manages to run upto a player, expertly dodging fire even at close range. It could be that the player has great reflexes, but it does plant doubt in my mind.
2;Bot;BotTracker;24;Female;Rookie;7;Postgraduate;Associate;Human;100;0;human being controlled a character by using waste of time because in some places character standing idle
2;Bot;BotTracker;25;Male;Rookie;1;Postgraduate;Store Manager;Machine;30;70;seems like it could be a machine because they seemed really good and fluent and moving around. didnt look like a controller would have been used. 
2;Bot;BotTracker;24;Male;Gamer;11;Postgraduate;Researcher;Human;100;0;The virtual character was not that much fast and seem to be moving here and there without determining the actual destination.
2;Bot;BotTracker;18;Male;FrequentGamer;11;High School;Cashier;Human;70;30;The AI in unreal are pretty good at following their path, in the video it looks like someone pretending to be a bot but has no idea what a bot would act like, and also the bots don't shot at walls randomly when a player gets in their trigger zone they will be firing towards the player.
2;Bot;BotTracker;24;Male;Gamer;6;Graduate;Student;Human;80;20;looks like real attack
2;Bot;BotTracker;28;Male;FrequentGamer;16;Postgraduate;Developer;Human;60;40;good movement....but speed of the action is little fast…
2;Bot;BotTracker;20;Male;Rookie;10;Undergraduate;Student;Machine;0;100;The game screen angle or the camera angle was such that it is very difficult for a human to interpret from where his enemies are coming, adjusting the shooting target to enemies location.
